No.,Time,Source,Destination,Protocol,Length,Info
56,53.788469,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=59969 Win=148992 Len=0 TSval=60427 TSecr=60373
57,53.806733,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=77345 Ack=1 Win=29696 Len=2896 TSval=60397 TSecr=60372
58,53.81323,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=62865 Win=155136 Len=0 TSval=60433 TSecr=60379
59,53.8311,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=80241 Ack=1 Win=29696 Len=2896 TSval=60397 TSecr=60372
60,53.836866,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=65761 Win=160768 Len=0 TSval=60439 TSecr=60379
61,53.855394,10.0.0.3,10.0.0.2,TCP,2962,"40758 > 34568 [PSH, ACK] Seq=83137 Ack=1 Win=29696 Len=2896 TSval=60404 TSecr=60378"
62,53.86019,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=68657 Win=166400 Len=0 TSval=60445 TSecr=60385
63,53.872818,10.0.0.3,10.0.0.2,TCP,2098,"40758 > 34568 [PSH, ACK] Seq=86033 Ack=1 Win=29696 Len=2032 TSval=60404 TSecr=60378"
64,53.884952,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=71553 Win=170496 Len=0 TSval=60451 TSecr=60385
65,53.896768,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=88065 Ack=1 Win=29696 Len=2896 TSval=60409 TSecr=60384
66,53.909467,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=74449 Win=170496 Len=0 TSval=60457 TSecr=60391
67,53.921202,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=90961 Ack=1 Win=29696 Len=2896 TSval=60409 TSecr=60384
68,53.934274,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=77345 Win=170496 Len=0 TSval=60463 TSecr=60391
69,53.94553,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=93857 Ack=1 Win=29696 Len=2896 TSval=60415 TSecr=60390
70,53.957574,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=80241 Win=170496 Len=0 TSval=60469 TSecr=60397
71,53.969765,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=96753 Ack=1 Win=29696 Len=2896 TSval=60422 TSecr=60396
72,53.982121,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=83137 Win=170496 Len=0 TSval=60475 TSecr=60397
73,53.993625,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=99649 Ack=1 Win=29696 Len=2896 TSval=60427 TSecr=60402
74,54.006668,10.0.0.2,10.0.0.3,TCP,66,34568 > 40758 [ACK] Seq=1 Ack=86033 Win=170496 Len=0 TSval=60481 TSecr=60404
75,54.018231,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=102545 Ack=1 Win=29696 Len=2896 TSval=60434 TSecr=60409
